Team, Position, Player Name, Height, Weight, Birth Date
Milwaukee Bucks,G,Matthew Dellavedova,6 ft 4 in (1.93 m),198 lb (90 kg),1990–09–08
Milwaukee Bucks,G,Donte DiVincenzo,6 ft 5 in (1.96 m),200 lb (91 kg),1997–01–31
Milwaukee Bucks,G,Trevon Duval,6 ft 3 in (1.91 m),186 lb (84 kg),1998–08–03
Milwaukee Bucks,C,John Henson,6 ft 11 in (2.11 m),229 lb (104 kg),1990–12–28
Milwaukee Bucks,F,Ersan Ilyasova,6 ft 10 in (2.08 m),235 lb (107 kg),1987–05–15
Milwaukee Bucks,G,Brandon Jennings,6 ft 1 in (1.85 m),170 lb (77 kg),1989–09–23
Milwaukee Bucks,C,Brook Lopez,7 ft 0 in (2.13 m),268 lb (122 kg),1988–04–01
Milwaukee Bucks,F/C,Thon Maker,7 ft 1 in (2.16 m),223 lb (101 kg),1997–02–25
Milwaukee Bucks,C,Brandon McCoy,7 ft 0 in (2.13 m),250 lb (113 kg),1998–06–11
Milwaukee Bucks,F,Khris Middleton,6 ft 8 in (2.03 m),234 lb (106 kg),1991–08–12
Milwaukee Bucks,G,Jaylen Morris,6 ft 5 in (1.96 m),185 lb (84 kg),1995–09–19
Milwaukee Bucks,G,Tony Snell,6 ft 7 in (2.01 m),221 lb (100 kg),1991–11–10
Milwaukee Bucks,G,Jason Terry,6 ft 2 in (1.88 m),185 lb (84 kg),1977–09–15
Milwaukee Bucks,G,Travis Trice,6 ft 2 in (1.88 m),177 lb (80 kg),1993–01–22
Milwaukee Bucks,F,D. J. Wilson,6 ft 10 in (2.08 m),236 lb (107 kg),1996–02–19
Milwaukee Bucks,C,Tyler Zeller,7 ft 0 in (2.13 m),250 lb (113 kg),1990–01–17
Atlanta Hawks,G,Jaylen Adams,6 ft 2 in (1.88 m),225 lb (102 kg),1996–05–04
Atlanta Hawks,G/F,Justin Anderson,6 ft 6 in (1.98 m),230 lb (104 kg),1993–11–19
Atlanta Hawks,G,Kent Bazemore,6 ft 5 in (1.96 m),201 lb (91 kg),1989–07–01
Atlanta Hawks,G/F,DeAndre' Bembry,6 ft 6 in (1.98 m),210 lb (95 kg),1994–07–04
Atlanta Hawks,F/C,John Collins,6 ft 10 in (2.08 m),235 lb (107 kg),1997–09–23
Atlanta Hawks,C,Dewayne Dedmon,7 ft 0 in (2.13 m),245 lb (111 kg),1989–08–12
Atlanta Hawks,G,Tyler Dorsey,6 ft 5 in (1.96 m),183 lb (83 kg),1996–02–18
Atlanta Hawks,G,Kevin Huerter,6 ft 7 in (2.01 m),194 lb (88 kg),1998–08–27
Atlanta Hawks,G,Jeremy Lin,6 ft 3 in (1.91 m),200 lb (91 kg),1988–08–23
Atlanta Hawks,C,Miles Plumlee,6 ft 11 in (2.11 m),249 lb (113 kg),1988–09–01
Atlanta Hawks,F,Taurean Prince,6 ft 8 in (2.03 m),220 lb (100 kg),1994–03–22
Atlanta Hawks,F,Omari Spellman,6 ft 9 in (2.06 m),253 lb (115 kg),1997–07–21
Atlanta Hawks,G,Trae Young,6 ft 2 in (1.88 m),180 lb (82 kg),1998–09–19
Charlotte Hornets,F,Dwayne Bacon,6 ft 7 in (2.01 m),221 lb (100 kg),1995–08–30
Charlotte Hornets,G,Jaylen Barford,6 ft 2 in (1.88 m),207 lb (94 kg),1996–01–23
Charlotte Hornets,G/F,Nicolas Batum,6 ft 8 in (2.03 m),200 lb (91 kg),1988–12–14
Charlotte Hornets,C,Bismack Biyombo,6 ft 9 in (2.06 m),255 lb (116 kg),1992–08–28
Charlotte Hornets,F,Miles Bridges,6 ft 7 in (2.01 m),220 lb (100 kg),1998–03–21
Charlotte Hornets,G,Joe Chealey,6 ft 4 in (1.93 m),190 lb (86 kg),1995–11–01
Charlotte Hornets,G,Devonte' Graham,6 ft 2 in (1.88 m),185 lb (84 kg),1995–02–22
Charlotte Hornets,C,Willy Hernangomez,6 ft 11 in (2.11 m),240 lb (109 kg),1994–05–27
Charlotte Hornets,F/C,Frank Kaminsky,7 ft 0 in (2.13 m),242 lb (110 kg),1993–04–04
Charlotte Hornets,F,Michael Kidd-Gilchrist,6 ft 7 in (2.01 m),232 lb (105 kg),1993–09–26
Charlotte Hornets,G/F,Arnoldas Kulboka,6 ft 10 in (2.08 m),213 lb (97 kg),1998–01–04
Charlotte Hornets,G,Jeremy Lamb,6 ft 5 in (1.96 m),185 lb (84 kg),1992–05–30
Charlotte Hornets,G,J. P. Macura,6 ft 5 in (1.96 m),203 lb (92 kg),1995–06–05
Charlotte Hornets,F/C,Mangok Mathiang,6 ft 10 in (2.08 m),230 lb (104 kg),1992–10–08
Charlotte Hornets,G,Malik Monk,6 ft 3 in (1.91 m),200 lb (91 kg),1998–02–04
Charlotte Hornets,G,Tony Parker,6 ft 2 in (1.88 m),185 lb (84 kg),1982–05–17
Charlotte Hornets,F,Zach Smith,6 ft 8 in (2.03 m),220 lb (100 kg),1996–01–05
Charlotte Hornets,G,Kemba Walker,6 ft 1 in (1.85 m),184 lb (83 kg),1990–05–08
Charlotte Hornets,F,Isaiah Wilkins,6 ft 8 in (2.03 m),205 lb (93 kg),1995–09–23
Charlotte Hornets,F,Marvin Williams,6 ft 9 in (2.06 m),237 lb (108 kg),1986–06–19
Charlotte Hornets,F/C,Cody Zeller,7 ft 0 in (2.13 m),240 lb (109 kg),1992–10–05
Miami Heat,F/C,Bam Adebayo,6 ft 10 in (2.08 m),255 lb (116 kg),1997–07–18
Miami Heat,F,Luke Babbitt,6 ft 9 in (2.06 m),225 lb (102 kg),1989–06–20
Miami Heat,G,Goran Dragic,6 ft 3 in (1.91 m),190 lb (86 kg),1986–05–06
Miami Heat,G,Wayne Ellington,6 ft 5 in (1.96 m),200 lb (91 kg),1987–11–29
Miami Heat,F,Udonis Haslem,6 ft 8 in (2.03 m),235 lb (107 kg),1980–06–09
Miami Heat,F,James Johnson,6 ft 8 in (2.03 m),240 lb (109 kg),1987–02–20
Miami Heat,G,Tyler Johnson,6 ft 4 in (1.93 m),190 lb (86 kg),1992–05–07
Miami Heat,G/F,Derrick Jones,6 ft 7 in (2.01 m),200 lb (91 kg),1997–02–15
Miami Heat,F,Yante Maten,6 ft 8 in (2.03 m),240 lb (109 kg),1996–08–14
Miami Heat,G/F,Rodney McGruder,6 ft 4 in (1.93 m),200 lb (91 kg),1991–07–29
Miami Heat,F/C,Kelly Olynyk,7 ft 0 in (2.13 m),245 lb (111 kg),1991–04–19
Miami Heat,G,Josh Richardson,6 ft 6 in (1.98 m),200 lb (91 kg),1993–09–15
Miami Heat,F,Duncan Robinson,6 ft 8 in (2.03 m),215 lb (98 kg),1994–04–22
Miami Heat,G,Dwyane Wade,6 ft 4 in (1.93 m),220 lb (100 kg),1982–01–17
Miami Heat,G,Dion Waiters,6 ft 4 in (1.93 m),215 lb (98 kg),1991–12–10
Miami Heat,C,Hassan Whiteside,7 ft 0 in (2.13 m),265 lb (120 kg),1989–06–13
Miami Heat,G/F,Justise Winslow,6 ft 7 in (2.01 m),225 lb (102 kg),1996–03–26
Orlando Magic,G,D. J. Augustin,6 ft 0 in (1.83 m),183 lb (83 kg),1987–11–10
Orlando Magic,C,Mohamed Bamba,7 ft 1 in (2.16 m),225 lb (102 kg),1998–05–12
Orlando Magic,C,Khem Birch,6 ft 9 in (2.06 m),220 lb (100 kg),1992–09–28
Orlando Magic,G,Isaiah Briscoe,6 ft 3 in (1.91 m),210 lb (95 kg),1996–04–13
Orlando Magic,G,Troy Caupain,6 ft 4 in (1.93 m),210 lb (95 kg),1995–11–29
Orlando Magic,G/F,Evan Fournier,6 ft 7 in (2.01 m),205 lb (93 kg),1992–10–29
Orlando Magic,F,Melvin Frazier,6 ft 6 in (1.98 m),201 lb (91 kg),1996–08–30
Orlando Magic,F,Aaron Gordon,6 ft 9 in (2.06 m),220 lb (100 kg),1995–09–16
Orlando Magic,G,Jerian Grant,6 ft 4 in (1.93 m),198 lb (90 kg),1992–10–09
Orlando Magic,F,Jonathan Isaac,6 ft 10 in (2.08 m),210 lb (95 kg),1997–10–03
Orlando Magic,F,Wes Iwundu,6 ft 7 in (2.01 m),195 lb (88 kg),1994–12–20
Orlando Magic,F,Justin Jackson,6 ft 7 in (2.01 m),225 lb (102 kg),1997–02–18
Orlando Magic,F,Jarell Martin,6 ft 10 in (2.08 m),239 lb (108 kg),1994–05–24
Orlando Magic,C,Timofey Mozgov,7 ft 1 in (2.16 m),275 lb (125 kg),1986–07–16
Orlando Magic,G/F,Terrence Ross,6 ft 7 in (2.01 m),206 lb (93 kg),1991–02–05
Orlando Magic,F,Jonathon Simmons,6 ft 6 in (1.98 m),195 lb (88 kg),1989–09–14
Orlando Magic,C,Nikola Vucevic,7 ft 0 in (2.13 m),260 lb (118 kg),1990–10–24
Washington Wizards,G,Bradley Beal,6 ft 5 in (1.96 m),207 lb (94 kg),1993–06–28
Washington Wizards,F,Troy Brown,6 ft 7 in (2.01 m),215 lb (98 kg),1999–07–28
Washington Wizards,C,Thomas Bryant,6 ft 10 in (2.08 m),248 lb (112 kg),1997–07–31
Washington Wizards,F,Jeff Green,6 ft 9 in (2.06 m),235 lb (107 kg),1986–08–28
Washington Wizards,C,Dwight Howard,6 ft 11 in (2.11 m),265 lb (120 kg),1985–12–08
Washington Wizards,C,Ian Mahinmi,6 ft 11 in (2.11 m),262 lb (119 kg),1986–11–05
Washington Wizards,G,Jodie Meeks,6 ft 4 in (1.93 m),210 lb (95 kg),1987–08–21
Washington Wizards,F,Markieff Morris,6 ft 10 in (2.08 m),245 lb (111 kg),1989–09–02
Washington Wizards,F,Kelly Oubre,6 ft 7 in (2.01 m),205 lb (93 kg),1995–12–09
Washington Wizards,F,Otto Porter,6 ft 8 in (2.03 m),198 lb (90 kg),1993–06–03
Washington Wizards,G,Austin Rivers,6 ft 4 in (1.93 m),200 lb (91 kg),1992–08–01
Washington Wizards,F,Devin Robinson,6 ft 8 in (2.03 m),200 lb (91 kg),1995–03–07
Washington Wizards,G/F,Tomas Satoransky,6 ft 7 in (2.01 m),210 lb (95 kg),1991–10–30
Washington Wizards,F/C,Jason Smith,7 ft 0 in (2.13 m),240 lb (109 kg),1986–03–02
Washington Wizards,G,John Wall,6 ft 4 in (1.93 m),210 lb (95 kg),1990–09–06
Dallas Mavericks,F,Kostas Antetokounmpo,6 ft 11 in (2.11 m),195 lb (88 kg),1997–11–20
Dallas Mavericks,G,J. J. Barea,6 ft 0 in (1.83 m),185 lb (84 kg),1984–06–26
Dallas Mavericks,F,Harrison Barnes,6 ft 8 in (2.03 m),225 lb (102 kg),1992–05–30
Dallas Mavericks,G,Jalen Brunson,6 ft 3 in (1.91 m),190 lb (86 kg),1996–08–31
Dallas Mavericks,G/F,Yanyuhang Ding,6 ft 7 in (2.01 m),205 lb (93 kg),1993–08–20
Dallas Mavericks,G/F,Luka Doncic,6 ft 8 in (2.03 m),228 lb (103 kg),1999–02–28
Dallas Mavericks,F,Dorian Finney-Smith,6 ft 8 in (2.03 m),209 lb (95 kg),1993–05–04
Dallas Mavericks,C,DeAndre Jordan,6 ft 11 in (2.11 m),265 lb (120 kg),1988–07–21
Dallas Mavericks,F,Maxi Kleber,6 ft 11 in (2.11 m),220 lb (100 kg),1992–01–29
Dallas Mavericks,F,Terry Larrier,6 ft 8 in (2.03 m),195 lb (88 kg),1995–08–15
Dallas Mavericks,G,Daryl Macon,6 ft 3 in (1.91 m),185 lb (84 kg),1995–11–29
Dallas Mavericks,G/F,Wesley Matthews,6 ft 5 in (1.96 m),220 lb (100 kg),1986–10–14
Dallas Mavericks,F/C,Dirk Nowitzki,7 ft 0 in (2.13 m),245 lb (111 kg),1978–06–19
Dallas Mavericks,F/C,Dwight Powell,6 ft 11 in (2.11 m),240 lb (109 kg),1991–07–20
Dallas Mavericks,G,Dennis Smith,6 ft 3 in (1.91 m),195 lb (88 kg),1997–11–25
Dallas Mavericks,F,Ray Spalding,6 ft 10 in (2.08 m),225 lb (102 kg),1997–03–11
Houston Rockets,F,Ryan Anderson,6 ft 10 in (2.08 m),240 lb (109 kg),1988–05–06
Houston Rockets,F/C,Tarik Black,6 ft 9 in (2.06 m),250 lb (113 kg),1991–11–22
Houston Rockets,C,Clint Capela,6 ft 10 in (2.08 m),240 lb (109 kg),1994–05–18
Houston Rockets,G,Michael Carter-Williams,6 ft 6 in (1.98 m),190 lb (86 kg),1991–10–10
